id_client,region,sexe,age,revenu_estime_gnf,anciennete_mois,type_abonnement,forfait_international,messagerie_vocale,recharge_mensuelle_moy_gnf,moyen_paiement,minutes_jour,minutes_nuit,minutes_internationales,donnees_mo,nombre_sms,appels_service_client,pannes_signalees_30j,retard_paiement_jours,retour_client,resiliation
CLI00001,Conakry,Homme,38,648000,33,Prépayé,Non,Oui,41000,Orange Money,164,130,3,1053,9,2,0,0,Content de la couverture reseau dans ma zone.,Non
CLI00002,Kankan,Homme,41,568000,3,Prépayé,Non,Oui,36000,Espèces,203,79,0,3138,9,3,0,1,Service correct dans l'ensemble.,Non
CLI00003,Boké,Homme,28,626000,11,Prépayé,Non,Oui,31000,Espèces,196,134,1,3447,2,2,0,0,Tres satisfait du reseau et du service.,Non
CLI00004,Faranah,Homme,39,1886000,29,Postpayé,Oui,Oui,129000,Espèces,234,107,26,284,14,0,1,0,"Utilisation standard, pas de souci majeur.",Non
CLI00005,N'Zérékoré,Homme,32,1203000,1,Prépayé,Non,Non,86000,Virement bancaire,274,100,1,3654,11,0,0,0,Offres interessantes et service fiable.,Non
CLI00006,Labé,Homme,43,972000,19,Prépayé,Non,Oui,57000,Orange Money,24,121,4,1326,18,3,0,1,"Utilisation standard, pas de souci majeur.",Oui
CLI00007,Boké,Femme,37,699000,12,Postpayé,Oui,Non,61000,Carte bancaire,230,181,24,855,1,1,1,1,"Bon rapport qualite prix, je recommande.",Non
CLI00008,Conakry,Homme,41,1157000,60,Prépayé,Non,Oui,62000,Orange Money,148,127,3,3113,3,1,1,6,"Bon rapport qualite prix, je recommande.",Non
CLI00009,Conakry,Femme,34,2004000,17,Postpayé,Non,Oui,137000,Espèces,210,103,0,3517,191,1,0,1,Service correct dans l'ensemble.,Non
CLI00010,Boké,Femme,31,505000,22,Postpayé,Non,Non,22000,Carte bancaire,215,61,5,1952,11,0,0,7,Aucun probleme depuis mon inscription.,Non
CLI00011,Mamou,Homme,36,490000,38,Prépayé,Non,Non,16000,Espèces,117,145,0,3989,14,2,0,0,Offres interessantes et service fiable.,Non
CLI00012,Kankan,Femme,43,910000,19,Illimité,Non,Non,64000,Carte bancaire,211,96,1,3376,1,4,0,6,Service correct dans l'ensemble.,Non
CLI00013,Kindia,Homme,30,462000,2,Postpayé,Non,Non,26000,Orange Money,155,112,3,3105,43,1,1,0,Service client reactif et efficace.,Non
CLI00014,Conakry,Homme,38,372000,6,Prépayé,Non,Oui,12000,Carte bancaire,108,39,5,2240,1,1,1,6,Trop de coupures de reseau ces derniers temps.,Oui
CLI00015,Conakry,Femme,61,507000,4,Prépayé,Non,Non,38000,Espèces,203,81,1,2216,14,3,1,0,Trop de coupures de reseau ces derniers temps.,Oui
CLI00016,N'Zérékoré,Homme,27,816000,6,Postpayé,Non,Oui,52000,Orange Money,233,105,5,4278,53,1,2,0,Service correct dans l'ensemble.,Oui
CLI00017,Conakry,Homme,19,913000,2,Prépayé,Non,Oui,39000,Orange Money,137,113,5,563,10,1,0,0,Offres interessantes et service fiable.,Non
CLI00018,Boké,Homme,23,656000,25,Prépayé,Non,Oui,48000,Orange Money,168,21,6,2631,1,0,0,10,"Utilisation standard, pas de souci majeur.",Non
CLI00019,N'Zérékoré,Homme,31,971000,13,Illimité,Oui,Non,71000,Espèces,129,84,18,2969,44,1,1,11,Rien de particulier a signaler.,Oui
CLI00020,Conakry,Femme,34,639000,9,Postpayé,Oui,Oui,28000,Orange Money,282,110,49,572,18,0,2,0,"Je pense changer d'operateur, trop de pannes.",Oui
CLI00021,Labé,Homme,18,504000,53,Postpayé,Non,Oui,43000,Espèces,147,45,3,1753,33,1,0,0,Service client reactif et efficace.,Non
CLI00022,N'Zérékoré,Femme,18,2076000,11,Prépayé,Non,Non,176000,Espèces,137,79,2,1879,17,1,3,1,Content de la couverture reseau dans ma zone.,Non
CLI00023,Conakry,Femme,42,751000,7,Postpayé,Oui,Non,24000,Orange Money,251,17,45,3194,3,1,1,1,Trop de coupures de reseau ces derniers temps.,Oui
CLI00024,Labé,Femme,19,916000,13,Prépayé,Oui,Non,78000,Orange Money,165,114,12,1977,8,1,1,1,Service correct dans l'ensemble.,Non
CLI00025,N'Zérékoré,Femme,41,379000,24,Prépayé,Non,Non,30000,Virement bancaire,239,38,4,1692,37,1,0,4,Service correct dans l'ensemble.,Non
CLI00026,Conakry,Homme,47,995000,12,Prépayé,Oui,Oui,70000,Espèces,169,76,32,914,9,2,0,0,Service correct dans l'ensemble.,Oui
CLI00027,Labé,Femme,18,300000,41,Postpayé,Oui,Non,15000,Virement bancaire,196,40,56,50,25,0,0,3,Tres satisfait du reseau et du service.,Non
CLI00028,Faranah,Homme,40,1187000,19,Illimité,Non,Non,86000,Espèces,126,87,5,2574,19,0,1,0,Aucun probleme depuis mon inscription.,Non
CLI00029,Mamou,Homme,34,2324000,16,Prépayé,Non,Non,126000,Orange Money,164,108,1,2579,10,1,0,0,"Bon rapport qualite prix, je recommande.",Non
CLI00030,Boké,Femme,30,485000,19,Prépayé,Oui,Non,34000,Espèces,114,81,69,4131,18,1,1,0,Rien de particulier a signaler.,Non
CLI00031,Conakry,Femme,38,576000,9,Prépayé,Oui,Oui,23000,Orange Money,46,72,10,4737,0,0,2,1,Rien de particulier a signaler.,Oui
CLI00032,Boké,Femme,33,1144000,15,Prépayé,Non,Oui,74000,Orange Money,154,121,3,3587,2,2,0,2,Aucun probleme depuis mon inscription.,Non
CLI00033,Kindia,Homme,40,417000,6,Prépayé,Oui,Non,20000,Espèces,265,81,25,50,39,0,0,2,Content de la couverture reseau dans ma zone.,Non
CLI00034,Boké,Femme,54,452000,6,Postpayé,Non,Non,34000,Carte bancaire,149,60,4,5424,21,0,1,0,Content de la couverture reseau dans ma zone.,Non
CLI00035,Kindia,Femme,37,637000,14,Prépayé,Oui,Non,31000,Carte bancaire,120,78,49,3542,43,1,0,7,Tres satisfait du reseau et du service.,Non
CLI00036,Kankan,Homme,21,873000,40,Prépayé,Non,Oui,71000,Orange Money,169,99,0,3471,8,1,0,4,"Utilisation standard, pas de souci majeur.",Non
CLI00037,Faranah,Homme,49,1524000,22,Prépayé,Non,Non,114000,Carte bancaire,170,51,0,426,34,3,0,3,Content de la couverture reseau dans ma zone.,Non
CLI00038,Kindia,Femme,46,524000,15,Prépayé,Non,Non,24000,Orange Money,145,110,2,1403,32,0,1,12,Offres interessantes et service fiable.,Non
CLI00039,Labé,Homme,50,979000,60,Postpayé,Non,Oui,37000,Orange Money,188,135,8,2218,0,1,0,0,"Bon rapport qualite prix, je recommande.",Non
CLI00040,Conakry,Femme,38,710000,6,Illimité,Oui,Non,53000,Orange Money,113,103,69,2970,14,2,0,4,Service client reactif et efficace.,Non
